회사명,종목코드,연도,매출액
로킷헬스케어,376900,2023,12417565750.0
로킷헬스케어,376900,2020,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2020,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
원일티엔아이,136150,2020,
원일티엔아이,136150,2021,
원일티엔아이,136150,2022,
원일티엔아이,136150,2023,
나우로보틱스,459510,2020,
나우로보틱스,459510,2021,
나우로보틱스,459510,2022,
나우로보틱스,459510,2023,
에이아이코리아,364950,2020,
에이아이코리아,364950,2021,
에이아이코리아,364950,2022,
에이아이코리아,364950,2023,
로킷헬스케어,376900,2020,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2024,13111237720.0
오가노이드사이언스,476040,2020,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
원일티엔아이,136150,2020,
원일티엔아이,136150,2021,
원일티엔아이,136150,2022,
원일티엔아이,136150,2023,
원일티엔아이,136150,2024,
나우로보틱스,459510,2020,
나우로보틱스,459510,2021,
나우로보틱스,459510,2022,
나우로보틱스,459510,2023,
나우로보틱스,459510,2024,
에이아이코리아,364950,2020,
에이아이코리아,364950,2021,
에이아이코리아,364950,2022,
에이아이코리아,364950,2023,
에이아이코리아,364950,2024,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
원일티엔아이,136150,2021,
원일티엔아이,136150,2022,
원일티엔아이,136150,2023,
원일티엔아이,136150,2024,
나우로보틱스,459510,2021,
나우로보틱스,459510,2022,
나우로보틱스,459510,2023,
나우로보틱스,459510,2024,
에이아이코리아,364950,2021,
에이아이코리아,364950,2022,
에이아이코리아,364950,2023,
에이아이코리아,364950,2024,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
원일티엔아이,136150,2021,
원일티엔아이,136150,2022,
원일티엔아이,136150,2023,
원일티엔아이,136150,2024,
나우로보틱스,459510,2021,
나우로보틱스,459510,2022,
나우로보틱스,459510,2023,
나우로보틱스,459510,2024,
에이아이코리아,364950,2021,
에이아이코리아,364950,2022,
에이아이코리아,364950,2023,
에이아이코리아,364950,2024,
로킷헬스케어,376900,2021,
로킷헬스케어,376900,2022,
오가노이드사이언스,476040,2021,
오가노이드사이언스,476040,2022,
오가노이드사이언스,476040,2023,
오가노이드사이언스,476040,2024,
